"x","y","r","area","estado","angulo"
700,700,7.685,185.4459665,1,0
693.651982799983,687.87639069302,6,113.04,1,13.685
684.729625335829,698.252842990499,7.685,185.4459665,1,15.37
707.262887958271,686.454249429965,7.685,185.4459665,1,15.37
690.778002450085,712.995344789168,8.25,213.71625,1,15.9349999999999
713.003024501364,698.25192854353,5.435,92.7531665,1,13.12
705.587608374934,713.103383442774,6.56,135.125504,1,14.245
680.280001214227,682.951696949223,8.25,213.71625,1,26.0676617482663
697.49119601271,675.325451807533,7.125,159.4040625,1,24.8017625573065
676.326721003207,709.755504585834,6.56,135.125504,1,25.6045700644286
723.006932612865,688.913778432472,8.25,213.71625,1,25.5386620028774
699.513068698398,722.791478855093,4.875,74.6240625,1,22.7966798129603
718.765373328201,709.412078004799,7.125,159.4040625,1,20.9934858590751
671.634220910672,694.279229025658,6,113.04,1,28.9369079876448
667.838447784603,684.690706583415,4.3125,58.396640625,1,35.61937542713
669.649370203916,676.257961775748,4.3125,58.396640625,1,38.5336879634014
676.861455203833,669.700554803173,5.435,92.7531665,1,38.1241214262013
659.989739550912,691.379909474073,6,113.04,1,40.9283141832034
659.585217786454,678.507515591083,6,113.04,1,45.7742450231124
665.36949859545,666.263265418927,6.56,135.125504,1,48.3470670022938
685.004551261236,672.535602042623,3.1875,31.902890625,1,31.291478680914
686.444527741641,663.461648990844,6,113.04,1,38.9718093320726
716.903439463589,672.379329654943,9.375,275.9765625,1,32.3825214584896
674.679706081015,659.624043960372,4.875,74.6240625,1,47.6585261024481
733.376808722837,676.814609268277,7.685,185.4459665,1,40.6395583625553
737.219273074474,689.949094134703,6,113.04,1,38.5524966364742
730.48352256748,661.144474609531,8.25,213.71625,1,49.3862025417164
748.632694538585,681.417018743417,8.25,213.71625,1,52.0621375902469
731.348952643901,699.762277259581,5.435,92.7531665,1,31.3498539704868
743.285288804722,700.947141832381,6.56,135.125504,1,43.2956499496061
688.824221189427,728.245700974697,7.125,159.4040625,1,30.3762679665367
710.203924051613,724.784275085678,6,113.04,1,26.8026184835291
700.812525707049,733.588563483949,6,113.04,1,33.5983897670685
691.684221218852,740.475745939115,5.435,92.7531665,1,41.3211590600359
679.841578178518,738.570009645914,6.56,135.125504,1,43.5201977755005
712.884746695328,737.054841085376,6.56,135.125504,1,39.2310839165222
725.391141408743,727.179907350294,9.375,275.9765625,1,37.1948575156478
701.938840406031,745.53558885426,6,113.04,1,45.5768466924187
732.730729329973,712.246038439203,7.125,159.4040625,1,34.9466178610523
740.198202404007,723.039669472761,6,113.04,1,46.3327297482844
664.312227709846,704.484228563486,6.56,135.125504,1,35.9683944157013
680.574485127543,720.323689793232,4.3125,58.396640625,1,28.1141066881305
666.284765733419,716.315928303826,5.435,92.7531665,1,37.4556609615422
649.009105373322,685.282428596044,6.56,135.125504,1,53.0723868208276
645.933892148797,667.359334872479,11.625,424.3415625,1,63.1550238551526
653.018160911557,700.443921625173,5.435,92.7531665,1,46.9839363031841
654.038775561154,713.524992134585,7.125,159.4040625,1,47.9099109178739
659.449207086178,725.48295415631,6,113.04,1,47.8930867503056
639.172927988757,697.092869504807,8.81,243.714554,1,60.8965031605023
662.702818986459,648.274851234709,11.625,424.3415625,1,63.7696693291439
699.37324972251,661.200283708235,7.125,159.4040625,1,38.8047780593032
683.702738222754,648.333092706977,9.375,275.9765625,1,54.1762867928567
675.316385561907,632.197315252888,8.81,243.714554,1,72.1559760563509
738.060703907423,733.70253612189,4.875,74.6240625,1,50.8377627652496
702.618653237449,644.451822405022,9.935,309.9312665,1,55.6098676396662
637.237151627267,682.980010301998,5.435,92.7531665,1,65.029648508805
720.950737549635,699.592621387678,2.625,21.6365625,1,20.9546978314519
640.398955791734,712.413892833107,6.56,135.125504,1,60.8801215996451
708.678240388898,704.299694030102,2,12.56,1,9.685
624.597836921516,688.226623377971,8.25,213.71625,1,76.3157820768318
625.586394626989,708.312072293311,8.81,243.714554,1,74.8763995556639
642.293473352232,647.251212732766,8.81,243.714554,1,78.1823367258451
645.656312835852,725.048742334018,7.125,159.4040625,1,59.8387485423186
630.030670857287,657.42706159023,7.125,159.4040625,1,81.9033705382345
650.496766406773,629.15361943804,11.06,384.096104,1,86.4278877152258
630.439252084746,674.497943230241,5.435,92.7531665,1,74.0881404140873
716.029730715117,655.902478225654,7.125,159.4040625,1,46.9206105399117
690.2400722713,634.417134653802,6,113.04,1,66.3051160641994
742.607754353972,667.491302840027,5.435,92.7531665,1,53.5932469824998
726.165852782275,647.564333681472,6,113.04,1,58.6016292784739
743.818553427355,656.120586477199,6,113.04,1,62.0118420591658
753.42135277688,668.597191237682,5.435,92.7531665,1,61.9675506267159
764.44568817542,676.705412622209,8.25,213.71625,1,68.526524247951
756.936875424477,656.539218749978,7.125,159.4040625,1,71.6285368408757
754.895898181398,694.837465089521,6.56,135.125504,1,55.1381120808857
754.381728761287,707.94738613457,6.56,135.125504,1,54.9593792672206
765.992338137963,701.837709391711,6.56,135.125504,1,66.0179208149097
739.50088364215,642.54044554914,8.25,213.71625,1,69.7274709580236
743.560338623418,711.253472294638,3.75,44.15625,1,44.9904849904179
726.431599115636,634.442024285398,7.125,159.4040625,1,70.685766683301
774.549498956777,689.750066994578,8.25,213.71625,1,75.2508400040962
751.870332880438,720.253745902172,6,113.04,1,55.6843394160083
765.821894054295,717.352635629861,8.25,213.71625,1,68.070813864663
779.441688283565,708.038602929018,8.25,213.71625,1,79.8473604723003
759.033072758656,729.881578339278,6,113.04,1,66.1650391322728
685.084605407274,751.815034767766,7.685,185.4459665,1,53.9190766226718
748.139970819705,730.468931847413,4.875,74.6240625,1,56.9720334764726
665.268006977234,750.359244033316,12.185,466.2090665,1,61.1748706491524
672.551686167098,727.661669971066,6.56,135.125504,1,38.9689352928414
713.618788715743,750.154290780392,6.56,135.125504,1,51.9704174484692
697.825956327896,756.808750990938,6,113.04,1,56.8503355754262
677.665537632754,761.243578642993,4.3125,58.396640625,1,65.1889878294979
724.19889651139,742.508611702088,6,113.04,1,48.9138902685921
688.99196241908,764.93036115266,6,113.04,1,65.8568803603529
709.581360759993,763.815154607476,7.685,185.4459665,1,64.5304302758721
725.422793596219,754.446035039046,6,113.04,1,60.089010357211
669.646525830139,768.585697271803,6.56,135.125504,1,75.0022083970854
749.771574103432,649.122608120545,3.1875,31.902890625,1,71.173861727386
736.423258921389,747.286748228914,7.125,159.4040625,1,59.6882764746921
736.772185623731,762.092637265254,7.685,185.4459665,1,72.1643210880593
698.631111811402,777.619373091834,9.935,309.9312665,1,77.6314429470571
748.991539237398,741.872179465087,6.56,135.125504,1,64.4472678242142
653.932374621059,736.139621531799,6,113.04,1,58.5516724997345
762.110211862096,742.05880359539,6.56,135.125504,1,75.0108084040561
723.055159081504,766.210146004382,6,113.04,1,70.1093702310541
755.362005455438,755.242043344903,8.25,213.71625,1,78.2089189349152
639.100618249761,740.190501429113,9.375,275.9765625,1,72.965821469267
715.987628655748,775.908084634885,6,113.04,1,77.5734592690762
770.658452360322,732.856565585835,6,113.04,1,77.9241348495581
634.723796321707,721.687717353755,4.3125,58.396640625,1,68.7847355934901
620.848103098484,676.236798420683,4.3125,58.396640625,1,82.6420748312109
627.266050653507,644.024222333981,6.56,135.125504,1,91.7797094833804
615.986956291695,652.724915144173,7.685,185.4459665,1,96.4008566417294
614.599914479441,698.380639669186,6,113.04,1,85.4154373330712
611.370656806406,681.564956454261,6.56,135.125504,1,90.5263017330384
665.527410770493,621.083716711774,6,113.04,1,86.1170086348446
634.976087333534,636.358285297803,4.3125,58.396640625,1,90.9855871481411
686.849381185063,622.906130616025,6,113.04,1,78.2074387242614
700.434838081163,629.237754856757,5.435,92.7531665,1,70.7635811831852
623.119634941405,667.237137154129,4.875,74.6240625,1,83.5703040164399
677.614751492658,605.306777234604,13.875,604.4990625,1,97.3031643289794
699.094914498035,615.618510024852,8.25,213.71625,1,84.3863438607924
625.014118624881,722.545572396146,5.435,92.7531665,1,78.3018852919475
647.746024296568,752.215186634383,5.435,92.7531665,1,73.8708582059141
652.144035419164,606.528506625043,11.625,424.3415625,1,105.010063421116
629.452167403608,616.864528633755,13.31,556.270154,1,109.034413298446
713.790555856712,624.283481176399,8.81,243.714554,1,76.9621377925653
698.432227683044,599.697295523903,7.685,185.4459665,1,100.31495618928
613.85570605638,670.277222944562,4.875,74.6240625,1,91.1278379801257
662.570783869978,592.318526268144,6,113.04,1,114.001078964948
772.924769975242,753.762203008269,9.375,275.9765625,1,90.600201700903
728.327897295516,621.454735183627,6,113.04,1,83.4974753526089
721.439715566406,610.95204255427,6.56,135.125504,1,91.5925768216232
607.3291073537,712.560187925047,9.935,309.9312665,1,93.5181942970166
652.169417199489,762.144461291999,5.435,92.7531665,1,78.4200147941155
637.663254294359,754.367824337889,4.875,74.6240625,1,82.7147519394534
604.420240184279,692.026567648472,6,113.04,1,95.9117621040054
736.756487929343,628.326742526999,4.875,74.6240625,1,80.5487134701167
602.532026932193,671.868925207062,6.56,135.125504,1,101.446355986564
596.40597430846,700.958059263633,6,113.04,1,103.598455763259
594.764868764822,683.136155523473,7.125,159.4040625,1,106.577774871751
614.719947335962,726.036551839568,5.435,92.7531665,1,89.1660777093825
602.028943206573,729.364135675903,7.685,185.4459665,1,102.276978999253
622.890309862514,733.206075964969,5.435,92.7531665,1,83.9556299130112
716.745348542254,645.051049005248,3.75,44.15625,1,57.4438326822403
755.818392782262,645.72188906197,3.75,44.15625,1,77.8576027103066
590.854952774859,718.810518389306,7.685,185.4459665,1,110.754128301624
612.558170461478,738.105680071178,6,113.04,1,95.3840469194448
615.004183483557,637.947558898633,7.125,159.4040625,1,105.236848451174
602.994112630289,645.617024205908,7.125,159.4040625,1,111.209937688166
624.76607798144,743.91300801687,5.435,92.7531665,1,87.1119698743202
600.060324359009,658.983852976387,6.56,135.125504,1,108.028991867411
603.066639656039,632.492224594846,6,113.04,1,118.124409364555
